,0
217,"If you're a fan of the JW franchise than you're fan of the entire franchise and this movie will not disappoint. It does start off a little slower than the last movie as far as the insane action but It's one of the best written JWs yet(at least in my opinion) and the story is partially why the action takes just a hair longer to get to. But not to worry cause the action comes and it comes strong! By now we all know what to expect from the JW movies and if we are watching them, it's because we enjoy what they offer. For me this movie is one of the best written as far as the story goes. I truly enjoyed learn about the parts of the table previously unknown. I'm not sure how I would feel it they ever did these movies without Keanu (as a spin off or something, not even sure I'd give them a chance.) I think when Keanu is done, they should do what a lot of studios don't do and Call It a Success and Say Goodnight! Leave this one be to remain one of the greatest action Series in cinema... Go see it and enjoy."
218,"The story was ok but could have been better flushed out. Fight scenes are great but they were way too long and so unrealistic. Not nearly as good as the other 3 movies. If they would have given us a little more background on some of the new characters it would have made more sense and given them more depth. In previous movies John would use his Krav Magra skills to take down or slow down someone then a double tap to the head would usually be sufficient. Those fight scenes were outstanding and believable. Almost all of fights in this movie ridiculous. People were shot and stabbed several times and looked like they weren't hurt. How many times did John get hit by a car and just walked away? How many times do you have to hit someone in the face with nunchucks before they go down. I used to think John was special. The Baba Yaga. But in this version he is made to look almost invincible. Really, did they have to get so far away from reality this time. I left somewhat disappointed. Was I watching a movie or a video game?"
219,"John Wick 4 is an exceptional addition to the already gripping John Wick series. This movie is undoubtedly the best modern thriller that you can watch and and the best one of the series. Without revealing any spoilers, I can confidently say that the action sequences in this movie are some of the best that you will ever see. The top-down action sequence was particularly awe-inspiring, and it made me feel like I was playing AAA title like Max Payne 3. The way the action scenes are choreographed is simply outstanding, and it is something that has become synonymous with the John Wick series.Overall, I would highly recommend John Wick 4 to anyone who is a fan of action movies. The level of excitement and intensity that this movie delivers is unmatched."
220,"This Film is packed with great amount of action with a tiny punch of humor and remarkable storyline. There are lots of moments when the audience would spontaneously cheer up between the scenes. John Wick films have a great thing as it progresses with every sequel and Chapter 4 doesn't fail to do so, instead it's the summit of all 4 movies. The end of the film synchronize with perfect ending for great story. The screenplay, direction and scenes keep getting better and better throughout. As they say what makes action scene perfect is background music and the team has gone limitless to provide so with intense action music that won't let you blink your eyes. Overall it's a must watch movie for every fan as well as those who seek to enjoy action films."
221,"It would be understandable if JW was a terminator(not a human assasain), but as that it is not understandable how can he fall from 4th floor of a building, bend a car and be left without a scratch and perfectly able to walk(and many other simillar situations). Blindman appears to feel where are distant people to shoot but he can not feel where is JW even when he is breathing heavily next to him. 20 people shooting at him (some even wait for their turn) and none of them can hit. In conclusion all the shooters were blind, drunk and drugged or wind have blown the bullets away. Sadly, at the end a man who survived all the impossible things even for a movie dies from superficial wound."
222,"No spoilers here but wow! Amazing! I was very disappointed with John Wick 3 and felt the series declining, this is a complete step up from that film.I love my action films, especially martial arts and this has things I've never even seen in Hong Kong action cinema before. So glad Donnie Yen also was able to shine, I expected him to have a few scenes then be out but he's along for a large chunk of the film without giving anything away. The choreography is on another level and blows everything else out of water. The story is also well written and there isn't just action for no reason. I recommend watching in IMAX if you can."
223,"Amazing movie in every sense of the work. More action than any of the other Wick flicks let alone any movie of all time. Great mix of storytelling drama, action, big name actors, soundtrack (omg), cinematic landscapes, combat, weaponry, blood, guts and more. Spectacular performances from all stakeholders including Ian McShane (Winston) who seemed to steal the show in every scene he was in. Donnie Yen was also incredible. I deducted 0.5 stars simply because the limited involvement of Lawrence Fishburne. He was missed. Other than this there are disappointments here. They went all in to produce this one and it is a masterpiece!"
224,"Anything that you do is everything
Consequences
Without rules we're animals
All distilled downWow, wow, wow! What a movie. The Best Action Movie Ever!!!. One of the Best Movies Ever Made .Afraid to say that John Wick: Chapter 4 is perfect and a masterpiece in every aspect. This movie proves everyone wrong. I can proudly say that this is the best action movie i have ever seen on the big screen. Nothing can be compared to it.. must watch movie..Keanu Reeves' exceptional performance takes the action sequences to an entirely new level, making for a truly unforgettable cinematic experience. The Best Action Movie Ever!!!. One of the Best Movies Ever Made ."
225,"It had a decent story for john wick with lots of action. It seemed like it tried to combine all the action of the first 3 into this movie. Some interesting characters- the blind ninja fighter and the wannabe bad guy, it was good to see Clancy Brown in this movie. Some fight scenes were really good. Some may have went too long yet Decent overall. The music and background music wasnt as good as the first 3- some of the fight music sounded like it was taken right from The other john wicks. They Definitely gave it a more of a New York feel with the classic new york movie they paid homage to in this movie."
226,"After the semi letdown of JW3 I was so happy that 4 made up and more. This was my favorite of the franchise. It had everything that you would expect from this movie. The fight scenes, gun scenes, choreography, music.... great soundtrack!! All were perfectly chosen. There were a few scenes where I felt the music could have been much louder. It was an odd choice and I'll crank it way up at home. They brought in some new characters ... likeable characters. I could see a spin-off with nobody. Something else with a couple others that had some loose ends that were not neatly completed.John wick 4 really tied things together well and had a great moral to the story. It showed that our actions have consequences. Watch it on the big screen and enjoy some time with sn old friend."
227,"John Wick: Chapter 4 is the best movie in the franchise and one of greatest action movies ever made period!!!!! Characters are great especially Donnie Yen's Caine, he stole the whole fu$$ing movie - his acting and fight scenes are just masterpiece, this is Donnie's best Hollywood movie yet. Scott Adkins' Killa was also amazing, even in fatsuit he was fighting like a with out it and his fighting style reminded me of the legendary Sammo Hung in SPL: Killzone (2005), Bill Skarsgard played propably the best villian of all JW films. Action Sequences were insane, amazing, epic, incredible, jaw-dropping."
228,"I expected a better film. First of all, I think the fighting scenes and the handling of weapons are very good, as I was used to from the other parts. Also, the scenery is very good and vivid. I also find it good that many of the characters appear again. However, I also have some criticism, so most of the fight scenes are too exaggerated and one-sided. Without exception, all shots at john wick go nowhere and thus the scenes were always very boring. But I also have to complain about the story, because some things do not really make sense and some actions do not sign the actual intentions of the characters. It's a shame that this film series finds such an end."
229,John wick chapter 4 was probably the best John wick yet it was alot better than chapter 3 for sure. Adding Donnie yen to the cast was a nice touch and him playing a blind man was incredible now that is something different his martial arts skills was incredible. The actor bill don't ask me to spell his second name because that is a mouthful lol but he did do an incredible job for the action probably the best action you will likely see in an action movie again incredible keanu reeves did an amazing job that's what got me liking keanu reeves after seeing the first chapter the scene at the end was different and in my opinion spoiled it a little bit.
230,"John wick chapter 4 is definitely the best action movie in John wick series. It is not only the best movie in the series but also the best Action movie ever made.Overall John wick series has been the most beautiful master piece of Action movies.John wick chapter 4, is a masterpiece from beginning of the film to end and to post credit scene.On a personal level i may not be a fan of the ending of the film, but i was prepared for that kind of ending of this movie.I Would like to see Mr. Wick alive in the next part.Wil wait for bellerina and the continental to see what comes next in this movie series. I am hoping to see John wick in action. If this is the end, then Miss you BABA YAGA."
231,"John Wick is not my cup of tea. I never saw the first 2 of the series, but I did see the 3rd one when it came out few years ago. Still, I'm not too familiar with the story nor do I have an emotional investment in what this is. Seeing John Wick 4, I want to see it again. It's a bit long, which is my only complaint. 30 minutes shorter and I would've given this a 9 out of 10. I also don't connect as much with John as well as I did with every other character. I was rooting for Donnie Yen more than John. Even with heavy plot armour and dodging more bullets than any action star in history, Reaves gives Wick a strong action presence. It's comedic how unrealistic he surmounts so much and yet it's kick ass.The main thing is how well shot this movie is. The cinematography is top notch. Some of the imagery is beautiful. Most importantly, the action is filmed without shaky cam or too many close-ups. You can see everything without getting disoriented. It's terrific. My favourite part of the movie was the first act at Asoka's hotel. The build-up and fight sequence there is one of the most memorable set pieces I've ever witnessed in an action movie. What I liked is how most of the action is physical combat, which I think was the same in the previous instalments. However, the entire fight at the hotel was so good. The emotion between the father and daughter really stood out to me. There could be a whole other movie about the daughter. The kung fu sword fighting is something I want to see more of.Finally, we have the the standoff at the end. It is beautiful and surprisingly unpredictable how it plays out. John Wick 4 is my favourite action movie in years and will be remembered as one of the best closing movies in a franchise ever, if it is the final one."
232,"There is such a thing as too much of a good thing. I'll keep this spoiler free but in closing the movie was nearly 3 hours and it could have been 105 minutes. To sum up where this movie went wrong, just watch the episode of the office where Micheal explains the downfall of the Diehard series. Also the plot and character motivations make absolutely no sense. It's only 5/10 because choreography was really well done. You believe he knows how to actually shoot but at the end of the day John Wick is supposed to be human, not a mix of wolverine, Hawkeye, and have a suit that doubles as captain America's shield. This movie is ruined like a video game can be ruined by god mode."
233,"The movie is worth the wait. This movie franchise has set the bar really high for action movies and it is going to be a benchmark of sorts for the action movies of future. Keanu Reeves is amazing, as he has been in the first 3 installments. Donnie Yen is treat to watch and his action sequences are just mind blowing. The run time is a bit on the higher side but you will not feel that. The action seems a bit over the top at certain times but it does not last long. This movie franchise is making audience fall in love with close combat action and its good. Watch it in a good theater with proper sound and screen. The experience will be enhanced."
234,"I dunno why but that just bothered me, as someone who's spent time in Japan, and has many relatives there.Anyway, that's all I had to say. I will now leave the lobby and go back to the theatre, since I stepped out to answer a phone call, and wound up writing a terrible movie review as well.Im guessing this will be a 7.5-8, but I'm only like half an hour into this. Hope I'm right.Ok I need more characters, so I'm back in the theater. This half Japanese looking girl is talking to Hiroyuki Sanada, who looks good as always. Dang he's handsome.Alright no spoilers so far, but this is getting boring. I hope this picks ups soon, I'll change my review if it doesn't."
235,Said only in death he would have peace and to be free again. No ties to the table at all anymore. So is he really dead or retired again. Baja yaga sent chills doen their backs and he taking out more then the table probably could imagine. What will make Mr. Wick return from the shadows and will he have his car? Winston knew what Johnathon had planned which is to be free once more to never be bothered again. To morn his wife which he really never had a chance to at all. Hopefully there's another twist which only two different reasons can make him come out the shadows and that's the daughters of his friends.
236,"Look, let's just put all our cards on the (high) table. Yes, John Wick: Chapter 4 is 169 minutes long. Any one of its many (many) set pieces contains more action all by itself than most entire movies. This thing ain't a ""chapter."" It's a whole damn book - a glorious, nightmarish, biblical compendium of all manners of asskickery.Full review at ScreenCrush. (And after you see the movie, here's my interview with Chad Stahelski that's JUST about the stairwell scene that I am sure will go down in history as one of the all-time great moments in action cinema.) Everyone is trying to rip off the way John Wick movies do action but I wish they would also try to rip off the way John Wick movies are really pretty and lit extremely well."
237,"This is the worst John Wick movie out of the 4. This movie is basically just the Long chicken fight scenes from Family Guy. He gets hit by 4 cars full speed, all 1000 enemies have worse aim than stormtroopers they are basically in a single file line waiting their turn to attack him instead of all at once
he never reloads his guns when he should clearly be out of ammo several times. I leaned over to my dad in one scene and said let me guess when him and that guy with the dog meet to where they can both shoot each other both of their guns are going to click and not shoot and then they are going to get into a fist fight 30 seconds later exactly what I said happened the whole movie is the most generic thing I've ever seen. The only good things I can say about this movie are the set designs and scenery all of it's beautifully filmed. Oh ""YEAH"" and he also falls from tall buildings several times and doesn't seem phased at all after hitting poles on the way down."
238,"Yes, it's John Wick. Fans here from the beginning. With that said, I believe the movie run time was just too long. I went with a group of 5 of all ages - 16 to 53. Everyone admitted they dozed off a few times - granted it was a 7:30 show and we got out at 10:30pm. Great actors, and a few new ones that added to the story. I won't spoil it, the one has a major disability that would make it impossible to pull off what he does in the movie. But... this is John Wick, Hollywood, special effects, and we all know John Wick, his Kevlar suit, unlimited ammo and moves... well, who can stop him? 😃 if your a fan, go! If you have not watched the others, watch them first."
239,"This is simply not just the best John Wick movie but one of the best action movies I have ever seen without exagerating, brutal, unique fighting scenes and epic cinematography overall. The movie had a runtime of 169 minutes and I just did not want it to end at all, although you think that you know what might happen next but it always kind of surprises you.The fighting scenes and the coreography is just a pure joy to watch, such a talented cast, even the guys who were 'taking a beating' .It nicely continues the story from where chapter 3 left off and ends with somewhat of an open ending in my opinion, adding new interesting characters, each unique to their own. Just marvelous!"
240,"The ending left me feeling frustrated, empty and just unfulfilled. I feel like I sat through a 3 hour movie... and now 3 previous movies... for nothing. We demand a rewrite. The ending was almost as bad as the last matrix movie. Everything else was fine as far as the storyline goes. How did you think people were going to feel about this/ or react. Like oh my gosh what a wonderful ending.... Now when everyone asks me how the movie was, all I can say is eh, it made me feel worthless at the end. Don't go see it in theater is what I'll say lol Hope it does well after all the bad reviews come out after opening."
241,"After seeing Chapter 4 for the fist time while just vaguely remembering plot of each previous movie I watched just once at the time they came out I didn't know what to think about it. Action, cinematography, stunt work and characters were all great, but I just didn't get the movie.So I decided watch every John Wick back to back and see Chapter 4 again. And I must say, those movies really are one story told in four chapters (so far). They continue where previous left and build on each other really nicely.And Chapter 4 is the biggest, boldest and the most beautiful of them all. I get the movie now and I think that it's brilliant, especially the final part. There is one location that feels bit weaker than the others, but I won't be lowering the score for that."
242,"When the first John Wick movie came out, it revitalized the action movie genre. Nearly 10 years later, and two sequels in, we get arguably the best installment of the franchise. John Wick: Chapter 4 ups the ante on absolutely everything. From stunning set pieces, to non-stop high voltage action sequences.Keanu Reeves once again is breathtaking in the role of the legendary hitman. He is a true inspiration, proving that age is just a number. The guy is in his 50's and is pulling off amazing choreographed action sequences. The action sequences are incredible. Utilizing the setting around them, from Morocco to Japan to France and all the way back to New York, which subsequently makes every scene unique and a stand out. Nothing feels out of place or boring, each scene has prominence and substance to them.John Wicks war against The High Table brings him into conflict with some interesting new adversaries. Bill Skarsgards villainous role as one of the heads of The High Table is menacing, cold and calculating. He pulls the strings of the plot all the way to the end. Donnie Yen yet again plays another blind badass character. This time a hitman who has a history Wick, and a motive that forces him into hunting Wick down. A very cool and compelling character that I hope to see more of later on.The two hour and forty minute runtime went by like a breeze, captivating from the very beginning to the somber bittersweet ending. A satisfying conclusion to John Wicks story, as he was finally at peace with everything and returned home to his wife. I hope his story stays concluded, even though nowadays it seems like no one truly stays dead.In light of the conclusion I can honestly conclude that John Wick: Chapter 4 is one of the greatest action movies of all time. Subsequently, the franchise will go down in history as one of the greats, as the bar for action movies reaches a new standard."
243,"Just back from an imax viewing. Admittedly not the biggest action fan but this is undoubtedly has some of the best action scenes I've ever seen, the part around the Arc de triomphe especially had me smiling and gasping.Obviously the whole thing is over the top and far fetched and it's a tough knowing how far to push it with giving the viewers what they want but not be such BS that it's off putting. Well unfortunately with this Caine character I just couldn't get into it, for a blind guy to be doing what he was doing throughout the movie in what was very much a main role was just too ridiculous and ruined the whole movie for me. I can see why it's getting the plaudits it is from fans, but reminded me of that one episode of that 'See' that I watched before I shouted BS and switched it off."
244,"A blind man, a homeless guy, and John Wick enter a German club and... No, it's not a joke, it is the wildest action movie of this century.Of course, one can not ignore its thoughtful take on the nature of power, order, and the power of will, but... We would not be honest if we denied the fact that, over all things, this saga is sheer entertainment, powerful visuals of martial arts and gun fu, bigger than life destruction, a non stop pace, and a really thrilling concept of spectacle based on the point of ""more is more"". For if this alone wouldn't be enough, we have stunning suspense and the feel of enormous authority and strength of the French Marquis, and also the deeply emotional and satisfactory dramatic work of Hiroyuki Sanada and Donnie Yen.What else can I say? Simply WOW, since I have felt definitely blown away by the bird-eye shot in the building with infinite grenade shooting. But... what is infinite? If you are wondering about it, I only have to say: stairs, lots of stairs.The final duel at the sunrise is just deeply satisfying and leaves me thinking we need another fight with Keanu. Let's hope for this to be only a temporal game over, and maybe we can see Mr. Wick down those stairs triumphant.I won't stop him until I see him in Turkey fighting Kenan Imirzalioglu."
245,"Keanu hit gold with this movie series! Lots of the stuff we seen but different in a good way. Amazing ending! You officially topped all my action star list and some more. The easter eggs and The Warriors flashback was genius. I do hope you get the recognition that is well deserved with all the hard work you put into these movies! You will always be praised for your talents and your humility Keanu. We need more of you in the world. Regardless I don't think we have seen the end of the talent and dedication this man has. The top view scene was off the hook!! Amazing! Skip the Matrix stuff, the writers don't know what they are doing anymore. Much love my man! RIP Lance you will be missed!"
246,"If you love a non stop violent action movie with perfectly choreographed fight scenes then this is the movie for you. If you like a crazy story, which is emotional and pulls you in, then this is the movie for you.If this is the end for John Wick then it was a fitting way to go out. I was on the edge of my seat the entire time.Sometimes a movie with non stop action will get old and boring very quick, but the constant scene changing keeps it fresh. I love that Wick takes no prisoners, everyone dies.I just hope there will be a chapter 5, these movies are some of the best action going around."
247,I believe this is tied with John Wick 1 as the best John wick movie. Full of action from start to finish. Awesome kills from John and other characters throughout. Great villains throughout the movie very well written too. The cinematography was great. The pacing was fantastic it managed to keep me engaged throughout the whole film with all of the action in between. The whole movie was very well written and you can tell they really tried to make this the best John wick movie and pulled out all of the stops.I believe this was a great way to end the John Wick Franchise. May you Rest in Peace John Wick and more importantly Lance Reddick who was taken from us too soon.
248,"To start, I feel like I should explain why I rated this movie so highly.It's because I was laughing hysterically through half of the 2.5 hour long movie.At no point in this movie did I feel like I was watching a traditional or even new age action thriller. It felt like a parody of John Wick movies. Granted it would have been a good parody if the movie were limited to a standard 1 hour 20 minute runtime, but it felt artificially prolonged.It's a weak and tragic ending to the John Wick series. It's violence becomes inconsequential after a solid and insufferable 25 minute segment near the beginning. It's quirky avant garde settings are so absurd that it destroys any serious emotional moments that the plot tries to push on the audience."
249,Yes no idea ne Can beat Jhon wick omg when I saw this movie definitely No one can beat this movie is the top level action thriller and awesome fighting movie but I'm so sad john wick is dead in part 4 We need again and again john wick hope Hollywood directors and producers understand this comment also we want to know story of Caine donie yen in part 5 Why did he sacrifice his eyes? We want please again john and Caine friendship and story we again want biggest blast we again and again want next level action we again want a top class story all credit of story goes to the director and producers and story makers.
250,"If you enjoyed any of the other three, this is a non-stop roller coaster, amped up to 11. It features a lot of catchy and signature lines, delivered in a way that is both cool and cheesy.The gun-fu is next level, and the addition of Donnie Yen contrasts Reeves's style so well.It's over-the-top and exhausting, exhilarating and beautifully shot. It showcases the best of Wick's humanity. The cinematography is a cut above the previous entries in the series.This is one of the few movie franchises that continues to defy expectations and delivers an experience well worth the price of admission.Stay for the post-credits scene."
251,"I wanted to love it, but I can't. The action was getting tedious after a while and the last 45 minutes I was getting bored. Nothing was really going on and the plot development wasn't there.Now, it's fun to go escape for nearly 3 hours, but I highly doubt this is going to hold up with repeat viewings. And like I said, the other 3 were far more superior than this, since there seemed to be an actual plot.Now the pros. The cinematography was top notch, and Connie Yen stole the show and this movie will make him into a mega star. His character, (a blind assassin) is so much fun, I can see them doing a spin off on him and it could work if done right.But this movie could have cut about 30 to 45 minutes. And there were some scenes, like John Wick falling off unbelievable heights and getting up unscathed that took me out. There is just no way that is possible and really took me out of suspending my belief. The movie was cartoonish at times and I felt I was watching Loony Toons with some of the stunts.So, basically, the movie is a fun popcorn flick, but because it has no whit, no humor and can get tedious from time to time, I can only give it 6 stars. Next time, put some things in there to stimulate our brains."
252,The soundtrack is avant garde but the choreography is dynamite. If the academy could think originally there is no better candidate for best musical and original numbers. Edge of your seat excitement. Don't make plans for later. All the restaurants will be closed by the time you get out of this movie.The soundtrack is avant garde but the choreography is dynamite. If the academy could think originally there is no better candidate for best musical and original numbers. Edge of your seat excitement. Don't make plans for later. All the restaurants will be closed by the time you get out of this movie.
253,"Sensational.... Brilliant...and one of the best action movie of decade...infact it can stand among one of the best action movies of all time. All character has done brilliant justice to thier roles.If you havnt seen any John wick movies before i would suggest go and watch on Netflix...Chapter 4 is best so far among all.Will there be John Wick 5? ...if no...then it should be...all assumption about prequal or spin off may come...but John Wick will be there forever...Brilliant Direction, Cinema...background feel...sounds...action...choregraphy...everythibg wow....head off to the directors actors and all the Team who made this movie a birrliant piece to watch..."
254,"Best Action Scenes in the past years and one of the most impresive choreography and storyline is predictive but surprises at some point. Franchise have been built bigger and Characters in the movie are very good. A new approach has been done by director by giving this movie a new perspective and Cinematography is better than all the previous movies, VFX work is very good but can be easily noticed in some scenes. Movie does not feel like stretched and Comedy is added in this part which i liked, All Credit goes to stuntman, Director and New Music is very great. Background Score is also very good."
255,"Sometimes when you have high expectations for a movie, probably you could be disappointed. However this new chapter on the John Wick saga takes you into a new dimension of action. Some of these action sequences are very original, you can note a hard work to make a difference respect other action movies. The electronic soundtrack is an excellent complement for the action. I recommend to see the movie in a IMAX cinema, this way you'll experience all the action details and the amazing sound. I usually see movies on IMAX and I call tell you the John Wick sound is absolutely amazing respect others movie in the same format."
256,"Never seen this detailed cinematography in an action movie ever.This is a brand new standard set for any future action movie. It was an ultimate experience, every bit of scenes location, use of camera, cast, characters just perfection.It reminded me, back in 2009 when James Cameron set a standard of film making of Avatar.Well now this John Wick Chapter 4 is definitely going to set a big record.Shooting scenes were so realistic, use of weapons and swords just remarkable.By looking at length of the movie you might think it's going to be a long and boring. But actually it's not, you're going to enjoy every millisecond of this masterpiece."
257,"Some context, of all the John Wick's, I'd seen the 2nd one, and thought it was great. However, after a 20 minute YouTube recap of all 3 I felt I was good to go. Although rather unnecessary as the movie is pretty easy to follow. So don't think it's important to have seen the others.I'll keep this simple:If you want to see 3 hours of well choreographed non-stop violence with some questionable decisions from the surrounding members of the public and some unfathomable bone break escapes from Mr Wick. Then this movie is for you.Went to see it in a packed IMAX and so many people around me were visibly bored and audibly exasperated with the movie.The one saving grace was a hilarious slapstick stairs moment towards the end which had the whole cinema laughing out loud.I did enjoy the warriors homage too.In a nutshell, if you want an excuse to eat a large popcorn then you'll have 3 action packed but long hours to get to the hard kernels at the bottom."
258,"This is a must see movie. JW: Chapter 4 continues to deliver on the outstanding action and fantastic performances. I would also argue that this is the most visually stunning of all the movies. Hardly any single minute is wasted multiple great build ups and payoffs throughout the movie. If you've already been a fan of the first 3 movies, I cannot recommend seeing this one enough. And for any newcomers: I just cannot emphasize how superb the JW franchise is as a whole.The epic fighting sequences are so well done that it felt like watching a well choreographed fighting ballet.It is indeed the best action Movie i have ever seen! Period."
259,"Best Movie ever seen. I thought chapter 4 will disappoint but not and this makes me Jabra Fan of John Wick. Entry of John Wick was awesome. I Love there concept. And I don't want to give you Spoiler, if Still you have not watched it, I will request you to Watch in so you feel the Movie. It makes my day.I love it. I love it. I love it. I love it
I love it. I love it. I love it. I love it
I love it. I love it. I love it. I love it
I love it. I love it. I love it. I love it
I love it. I love it. I love it. I love it
I love it. I love it. I love it. I love it
I love it. I love it. I love it. I love it
I love it. I love it. I love it. I love it
I love it. I love it. I love it. I love it
I love it. I love it. I love it. I love it
I love it. I love it. I love it. I love it
I love it. I love it. I love it. I love it
I love it. I love it. I love it. I love it
I love it. I love it. I love it. I love it
I love it. I love it. I love it. I love it
I love it. I love it. I love it. I love it
I love it. I love it. I love it. I love it
I love it. I love it. I love it. I love it
I love it. I love it. I love it. I love it
I love it. I love it. I love it. I love it
I love it. I love it. I love it. I love it
I love it. I love it. I love it. I love it
I love it. I love it. I love it. I love it
I love it. I love it. I love it. I love it."
260,"Wow!! This was such an awesome time for me and my family. If you've seen any of the the first three John Wick movies, you know they are action filled.....But get ready for a new standard in packing action into a movie. New guns, new twists, so much excitement. It is a long movie, but if you like tons of fighting and action it keeps you wanting more. It's definitely a popcorn flick, but so good and entertaining. Unlike the last three Wick movies, Chapter 4 had the audience laughing out loud at several scenes. Without being a spoiler, I'll just say there are a few really funny things that happen. We absolutely loved it and can't wait for Chapter 5. Keanu is great!!"
261,"Donnie has gone an excellent act of a disabled assassin that battled every fight. He shall be nominated for Oscar Best Supporting Actor! No questions!Why? He proved to be a best assassin in hardships like he can do anything except see. He excelled in the martial art fights. The character of Caine applied to the biblical example of being a sinner so Donnie has done an excellent job of being good guy and bad guy in Marquis's expectations.Donnie also done excellent acting as the disabled assassin in the mob world and challenged John Wick, Caine's friend into the battle. Caine beat everyone include John Wick. Donnie is a winner in Oscar nomination!"
262,"Really a great thriller movie. It has surprised to its viewers with something new. When you go to the cinema hall you will see a new content , scene and will applaud . Don't miss the scene when there will be a first part club music. Really 10 star rating. Joh wick have a great action thriller and the most important is you can see the camera angles the way it's directed the scene were really amazing. You will think what will be next and will be surprised when the people of the high table starts attacking John Wick. Also it has shown in the start about the women empowerment and the message that friendship is everything always maintain. And the women are more stronger than what we think."
263,"There are no words to describe the fourth installment of this epic saga. The cast, the dialogue (or the lack of it!), the action scenes and various backdrops that really set the scene for the conclusion of this blockbuster. I literally reached nirvana when I saw Keanu pull out his gun for the 600th time to shoot the bad guys. I can't recommend it enough! It certainly is the best action film I've ever seen, and I've seen many, as I don't have other hobbies or interests in my life. Don't call me a loser, I rather you refer to me as a fan. It's a no brainer movie guys and you know what ? I like it a lot, thinking about the tattoo now....."
264,"I was really looking forward to this final installment of the the Keanu Reeves titular character as I loved the previous 3 in the series and up until the film went rip-off the rails I was suspending the superhuman resilience of Johnny Wick himself. But when they brought in a dj towards the latter part of the film the film lost my support. The reason for this is that it is a direct rip-off of the Warriors, one of my favorite films. From the dialogue to the use of Nowhere to Run, it was the director's insert that, excuse the expression, proverbially killed the movie for me. I read after seeing the movie that the director wanted to homage the film but this extraneous garbage was so cringe for me. Maybe a lot of people who never saw the Warriors won't care, but for me, it displayed a useless insert. It was almost word for word plagiarism. It took me out of the film until the final scene when I was sort of able to finish the film with some assemblage of enjoyment. Sad how certain things can ruin a good thing. Oh, and the tag after the credits was so predictable, especially since word got out that certain surviving characters were spinning off into their own films, etc. If that dj scene weren't in the film, I'd be giving it a higher rating."
265,Absolutely entertaining and Best of the best action movie ever made. Non-Stop action totally worth money. There is no any minutes that you fell board. If you have high expectations for this movie that you won't be disappointed you gonna love it. I think this is the movie best action movie ever made so till the date. I had little expectations for this movie but it actually surprised me and there is not single minute that I don't feel bored since the beginning of this movie. This movie will surely make $1B box office I absolutely love this movie I don't usually like movie that early but is one is dope.
266,"I love the John Wick series, and this seems a fitting end if indeed it is the end.The fight scenes are some of the best ever on film, and the new characters introduced in chapter 4 were great!If you stuck around for the scene at the end of the credits you saw how they left it open for a possible 5,(not everything is as it seems perhaps?!)Don't really have anything to criticize with this one, it was pretty awesome.Now, I'm assuming this review will actually get posted because I did not say anything negative that'll offend a certain political party, so enjoy everyone, cheers!A+++++++++++"
267,"Ok this movie is exactly what you expect John wick been good at what he does. I don't want to go in detail because of spoilers but I'll try the best I can one of the main characters at the beginning a character that we all love found his fate can't help but making you awwww. The culture of one the friends of wick is pretty cool. Parts of Germany, France, and New York great scenes and the fights. Spoiler alert there a lot of gun shots. Lol the bad guy kinda of annoying and such a cliche. But guess kinda work. My only issue was the annoying black dj girl trying so hard to sound cool. Sorry. But the warriors made it cool this was just a wannabe. And the end it was so cool wait until the end of the credits."
268,"Keanu Reeves is beautiful he is my wife. (love love)and the action scene is cool. Great shot and beautiful scene changes. If we just talk about actors and shots is nearly perfect. BUT!!!!!! The plot is xxxx. I don't know how families is and I don't know how so call table is. And why they fight, fight for what? Power fight between families and table?(like politics fight)? I don't know, that makes no sense at all. Btw, 1,2 and 3 is fresh in action movies and make me feel new, with a almost clear outline of plot. 4 as the end is ok, a end with ""who knows"" but may be happy ending. But if 4 is a single movie, it's failed."
269,"This newest chapter is honestly just as good, if not better, than the first one. I was a little concerned since the two previous ones only got crazier and crazier, trying to one up each other. But this one's story, plot, set pieces, and action is actually the best we've seen from the franchise so far. The casting was perfect, all the actors did a phenomenal job and I can't forget about Lance Reddick. It was a little sad knowing what happened to him in real life but, as always, his actual performance in the movie was amazing. I'd strongly recommend this to any fan of this series. You won't be disappointed."
270,"Before there was a story, and a lot of shooting, now there is just shooting and no story pief, paff poef. Everybody's dead.??? Is this a metaphor for the current society? Did I mention the movie is way too long we watched this in IMAX and my ears were hurting from the gun noise. The fighting scenes are pretty awesome and the scenery is nice, but I think good movie needs more than justice this. I wouldn't recommend to watch this at home and not in the theatre. You can have a break and adjust sound yourself.. I do hope there won't be a sequel for movies of the same character must be enough. Just make a video game of it."
271,"The best action movie I have ever seen in my life I recommend it for all the action scenes, the sound effects and especially the cinematic effects of movement around the shot excellent 👌 with the lighting effects of the locations it was crazy.the best of the franchise, the length is about 3 hours, it doesn't feel heavy, it's the best, the scenes in Tokyo are very enjoyable, the new weapons, WOW very cool, great that they include new martial arts actors, it was super to see them fight, the change of focus that the character suffers is incredible, the action exceeded my expectations, you really have to see it. This movie is a work of art."
